glass_name,mode_a_best_neighbor_plausible,mode_a_plausible_ratio_top5,mode_a_plausible_ratio_top20,mode_a_n_plausible_top20,mode_b_best_neighbor_plausible,mode_b_plausible_ratio_top5,mode_b_plausible_ratio_top20,mode_b_n_plausible_top20
LASF35,False,0.2,0.15,3,False,0.0,0.0,0
P-SF68,False,0.2,0.05,1,False,0.0,0.0,0
N-LASF55,True,0.2,0.1,2,False,0.0,0.0,0
N-SF66,False,0.0,0.1,2,False,0.0,0.0,0
N-LASF46B,True,0.8,0.55,11,False,0.0,0.0,0
N-LASF31A,False,0.0,0.05,1,False,0.0,0.0,0
N-LASF9,False,0.0,0.05,1,False,0.4,0.25,5
N-SF57,False,0.0,0.1,2,False,0.0,0.2,4
N-SF57HT,False,0.0,0.1,2,False,0.0,0.2,4
N-SF57HTultra,False,0.0,0.1,2,False,0.0,0.2,4
SF57,False,0.0,0.1,2,False,0.0,0.15,3
SF57HTultra,False,0.0,0.1,2,False,0.0,0.15,3
N-LASF41,False,0.0,0.0,0,False,0.0,0.05,1
N-LASF40,False,0.2,0.2,4,True,0.6,0.25,5
SF6G05,False,0.0,0.15,3,False,0.0,0.0,0
N-LASF43,False,0.0,0.0,0,False,0.2,0.2,4
P-LASF47,False,0.2,0.05,1,False,0.0,0.0,0
N-SF6,False,0.0,0.05,1,True,0.4,0.2,4
N-SF6HT,False,0.0,0.05,1,True,0.4,0.2,4
N-SF6HTultra,False,0.0,0.05,1,True,0.4,0.2,4
SF6,False,0.0,0.0,0,False,0.0,0.0,0
SF6HT,False,0.0,0.0,0,False,0.0,0.0,0
N-LASF44,False,0.0,0.0,0,False,0.0,0.0,0
N-LASF45,False,0.0,0.0,0,False,0.0,0.0,0
N-LAF21,True,0.2,0.05,1,False,0.0,0.0,0
N-LAF33,True,0.2,0.1,2,False,0.2,0.05,1
N-SF11,False,0.0,0.25,5,True,0.6,0.4,8
SF11,False,0.0,0.3,6,False,0.0,0.05,1
SF56A,False,0.2,0.1,2,False,0.0,0.0,0
N-LAF34,False,0.4,0.3,6,False,0.0,0.0,0
N-SF14,False,0.0,0.1,2,False,0.0,0.25,5
P-LAF37,False,0.0,0.05,1,False,0.0,0.05,1
SF4,False,0.0,0.0,0,False,0.0,0.0,0
N-SF4,False,0.0,0.0,0,False,0.2,0.1,2
N-LAK33B,False,0.0,0.0,0,False,0.0,0.0,0
N-LAF7,False,0.0,0.05,1,False,0.0,0.0,0
N-LAK28,False,0.0,0.1,2,False,0.2,0.35,7
N-LAF2,False,0.0,0.1,2,False,0.0,0.0,0
SF3,False,0.0,0.05,1,False,0.0,0.0,0
N-LAK34,False,0.0,0.05,1,False,0.0,0.05,1
N-SF10,True,0.2,0.05,1,False,0.2,0.1,2
SF10,False,0.2,0.05,1,False,0.0,0.0,0
P-SF69,False,0.2,0.2,4,False,0.0,0.3,6
N-KZFS8,False,0.0,0.1,2,False,0.0,0.0,0
N-LAK10,False,0.0,0.1,2,False,0.0,0.25,5
N-SF1,False,0.2,0.15,3,False,0.0,0.05,1
SF1,False,0.0,0.15,3,False,0.0,0.0,0
N-LAK8,True,0.6,0.45,9,False,0.0,0.05,1
N-BASF64,False,0.2,0.15,3,False,0.2,0.05,1
N-SF15,False,0.2,0.05,1,False,0.0,0.2,4
N-LAK14,False,0.2,0.15,3,True,0.4,0.15,3
P-LAK35,False,0.0,0.05,1,False,0.0,0.0,0
N-LAK9,False,0.2,0.2,4,False,0.0,0.15,3
LAK9G15,False,0.0,0.1,2,False,0.0,0.05,1
N-SF8,False,0.6,0.25,5,False,0.2,0.4,8
N-LAK12,True,0.4,0.15,3,False,0.2,0.05,1
N-SF5,False,0.0,0.05,1,True,0.6,0.75,15
SF5,False,0.0,0.05,1,False,0.0,0.05,1
N-BAF10,False,0.2,0.15,3,False,0.0,0.0,0
N-BASF2,False,0.0,0.1,2,False,0.2,0.1,2
N-SSK5,False,0.0,0.1,2,False,0.2,0.05,1
N-KZFS5,False,0.0,0.15,3,True,0.4,0.2,4
N-BAF51,False,0.2,0.2,4,False,0.0,0.0,0
N-LAK7,False,0.0,0.15,3,False,0.0,0.0,0
N-LAK22,False,0.0,0.15,3,False,0.0,0.1,2
N-SF2,False,0.0,0.0,0,True,0.8,0.9,18
SF2,False,0.0,0.0,0,False,0.0,0.0,0
N-LAK21,False,0.2,0.25,5,False,0.0,0.0,0
N-KZFS11,True,0.2,0.15,3,False,0.0,0.0,0
N-SSK20,False,0.2,0.2,4,False,0.0,0.05,1
N-SSK2,False,0.0,0.1,2,False,0.2,0.15,3
F2G12,False,0.0,0.05,1,False,0.0,0.0,0
N-SK16,False,0.0,0.0,0,False,0.0,0.0,0
N-F2,False,0.0,0.0,0,True,1.0,0.75,15
F2,False,0.0,0.0,0,False,0.0,0.0,0
F2HT,False,0.0,0.0,0,False,0.0,0.0,0
F2HTi,False,0.0,0.0,0,False,0.0,0.0,0
N-PSK53A,False,0.2,0.15,3,False,0.0,0.05,1
N-SSK8,False,0.2,0.3,6,True,0.2,0.1,2
N-KZFS4,False,0.2,0.1,2,False,0.2,0.1,2
N-SK4,False,0.0,0.1,2,False,0.0,0.0,0
P-SK60,False,0.0,0.1,2,False,0.2,0.1,2
N-BAF52,True,0.4,0.3,6,False,0.2,0.1,2
N-SK2,False,0.2,0.15,3,False,0.0,0.05,1
N-SK2HT,False,0.2,0.15,3,False,0.0,0.05,1
N-BAF4,False,0.2,0.1,2,False,0.0,0.3,6
F5,True,0.6,0.3,6,False,0.0,0.0,0
N-SK14,True,0.4,0.15,3,False,0.0,0.05,1
LF5G19,False,0.2,0.15,3,False,0.0,0.05,1
N-SK5,False,0.2,0.05,1,False,0.0,0.0,0
N-SK5HTi,False,0.2,0.05,1,False,0.0,0.0,0
P-SK57,False,0.2,0.05,1,False,0.0,0.0,0
LF5,False,0.0,0.1,2,False,0.0,0.05,1
LF5HTi,False,0.2,0.1,2,False,0.0,0.05,1
N-BALF4,False,0.0,0.1,2,False,0.2,0.05,1
N-BAK1,False,0.0,0.05,1,False,0.0,0.0,0
N-BAK4,False,0.0,0.15,3,False,0.0,0.0,0
N-BAK4HT,False,0.0,0.15,3,False,0.0,0.0,0
N-SK11,False,0.2,0.25,5,False,0.0,0.0,0
N-KZFS2,False,0.4,0.15,3,False,0.0,0.35,7
N-PSK3,False,0.2,0.1,2,False,0.2,0.05,1
LLF1HTi,False,0.0,0.0,0,False,0.0,0.0,0
LLF1,False,0.0,0.05,1,False,0.0,0.0,0
N-BALF5,False,0.6,0.2,4,False,0.2,0.1,2
N-BAK2,False,0.4,0.2,4,False,0.0,0.1,2
N-PK51,False,0.2,0.15,3,False,0.0,0.0,0
N-KF9,False,0.0,0.15,3,False,0.2,0.55,11
K5G20,False,0.2,0.15,3,False,0.0,0.05,1
N-K5,False,0.0,0.1,2,False,0.0,0.15,3
BK7G18,True,0.4,0.1,2,False,0.8,0.6,12
N-BK7,False,0.2,0.15,3,False,0.2,0.25,5
N-BK7HT,False,0.2,0.15,3,False,0.2,0.25,5
N-BK7HTi,False,0.2,0.15,3,False,0.2,0.25,5
N-BK7HTSultra,False,0.2,0.15,3,True,0.4,0.55,11
N-ZK7A,True,0.4,0.4,8,True,0.6,0.3,6
K10,True,0.4,0.5,10,False,0.6,0.75,15
N-BK10,False,0.2,0.4,8,False,0.6,0.65,13
N-PK52A,True,0.6,0.25,5,False,0.0,0.0,0
N-FK5,True,0.4,0.25,5,False,0.0,0.6,12
FK5HTi,False,0.0,0.3,6,False,0.0,0.6,12
N-FK51A,True,0.2,0.35,7,False,0.0,0.0,0
N-FK58,True,0.6,0.3,6,False,0.0,0.0,0
